"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC178Pp","AC185Pp","AC186Pp","AC175Pp","AC176Pp","AC180Pp"
"1","LOC101850631",53126.506609661,-8.50696216305786,0.289085005275032,-29.4271996396508,2.4651831949816e-190,3.40712969378407e-186,326.869949387162,299.361250544337,247.445995923526,66432.7335678489,118241.315303596,133211.313590666
"2","LOC101848377",1593.0335694086,-6.47899865350362,0.307716899678155,-21.0550628200144,2.05510797811495e-98,1.42018236827634e-94,32.7894620074896,41.0887990943208,31.8599994751321,2173.25931674789,3490.36309611036,3788.84074301642
"3","LOC101861355",3026.6161386538,-6.8442907703921,0.345433562630315,-19.8136241257972,2.27131785975139e-87,1.04639613798747e-83,37.9128154461598,82.1775981886416,36.1079994051497,5147.68696348256,4520.91655586565,8334.89489953465
"4","LOC101847465",6133.13323250355,-5.52864956709178,0.2800564422101,-19.7411976081027,9.54877441735384e-87,3.29934028055619e-83,236.698928866565,223.053480797741,320.72399471633,8553.01325256146,15355.4424730648,12109.8672650144
"5","LOC101852443",861.269507879556,-7.16137494099558,0.409893294777572,-17.4713151745546,2.36968722455665e-68,6.55028942611949e-65,18.4440723792129,7.82643792272777,9.55799984253963,1557.58671721752,1066.79916128661,2507.40265862873
"6","LOC101845466",1023.14479489241,-9.09226099175864,0.521539535056197,-17.4335028902055,4.59434418936707e-68,1.0583071840207e-64,3.07401206320215,4.89152370170485,3.18599994751321,1385.80467889603,2251.15194916127,2490.76060558473
"7","LOC101853471",4347.70322123467,-4.65287560415948,0.267219675721467,-17.4121744276396,6.67016512722889e-68,1.31697646033472e-64,242.84695299297,403.06155302048,351.521994208957,9924.38246605232,8221.89656627961,6942.50979485366
"8","LOC101856068",446.844399404583,-7.02616882145316,0.427686324622906,-16.4283223870864,1.1993115379931e-60,2.07196059582532e-57,5.12335343867024,5.86982844204582,9.55799984253963,1146.89772644052,725.893644181246,787.723844082476
"9","LOC101846325",846.261687324633,-6.77417699954137,0.420677941311889,-16.1030002628995,2.43028796525505e-58,3.73211221864334e-55,23.5674258178831,12.7179616244326,9.55799984253963,1618.21567191922,856.182246983008,2557.32881776072
"10","LOC101853463",2867.74504571611,-4.86177529735874,0.307864256487344,-15.7919446473924,3.53511408743478e-56,4.88588118024362e-53,128.083835966756,253.380927748311,190.097996868288,3962.53525371835,5402.56875527607,7269.80350471891
