"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC178Pp","AC185Pp","AC186Pp","AC178A","AC186A"
"1","LOC100533236",585306.403395979,-12.2799835791987,0.262721460320989,-46.7414560051366,0,0,319.238603700265,299.900462123108,263.156656523803,1328615.38513545,1597034.33612209
"2","LOC101845620",28554.4310482461,-10.9884346182387,0.336983503582721,-32.6082271132339,3.13551893041593e-233,2.03793052882383e-229,19.3477941636524,38.8759858307733,47.2074918191555,75095.637539571,67571.0864298459
"3","LOC100533237",123791.737704111,-8.47392393384845,0.283677918398191,-29.8716374601771,4.59743063368135e-196,1.99206669357413e-192,877.422465321638,882.114630874451,840.695120268791,237294.704836446,379063.751467645
"4","LOC100533366",60732.1953029281,6.95786987058785,0.301200302806419,23.1004743546346,4.5794253104752e-118,1.48819874027168e-114,73500.3352482993,99117.1027316873,129423.858688453,875.767263141498,743.912583059313
"5","LOC101856039",30619.6674210933,-6.70666164174168,0.301959247230624,-22.2104860283329,2.71979765691164e-109,7.07092994843889e-106,503.042648254964,775.668479194953,888.907026807503,82340.1102529007,68590.6086983087
"6","LOC100533452",11315.5808027838,7.31434145520421,0.332565932032511,21.9936582514687,3.31183055951419e-107,7.17508090718749e-104,12285.8492939193,19427.8111095738,24628.2489235254,118.043084248854,117.951602651477
"7","LOC106011723",2051.3904094741,-6.42624659674891,0.310937239720238,-20.6673430385207,6.81670291443423e-95,1.26586173121044e-91,39.6629780354875,62.9420722974425,73.3222745276246,5230.99496199922,4850.02976051072
"8","LOC101845589",1365.96815706641,-6.34991581964756,0.327735673124333,-19.3751133622814,1.25185529888658e-83,2.03410837877833e-80,27.0869118291134,49.9834103538514,46.203077099599,3800.9873128131,2905.58007323637
"9","LOC106014153",524.638501824468,-7.27325218359191,0.414958978447549,-17.5276414329019,8.81508867393078e-69,1.27319264080474e-65,7.73911766546098,4.62809355128254,13.0573913542345,1401.90215293639,1195.86575361497
"10","LOC100533412",409.445172431835,-5.81903527826312,0.365186810702803,-15.9344070150408,3.65652895046815e-57,4.75312198271354e-54,13.5434559145567,21.2892303358997,18.079464952017,821.804710342022,1172.50900061468
"11","LOC101862698",498.159519008959,-5.10199317802292,0.320344274486705,-15.9265939314756,4.14319534105324e-57,4.89612693075919e-54,44.4999265764006,29.6197987282082,30.132441586695,1187.17616158848,1199.36926656501
"12","LOC101851187",426.868745199016,-6.31117358880543,0.410392726831984,-15.3783758243582,2.2861063523482e-53,2.47642470618118e-50,23.2173529963829,8.33056839230857,8.03531775645201,1182.67928218852,912.081204661418
"13","GnRH",17714.8215674622,4.69589010758886,0.316565698900856,14.8338563650244,8.849931850067e-50,8.84925108607853e-47,22501.4846123278,23116.401669946,40735.0433663335,1084.87215523947,1136.30603346423
"14","LOC101856965",9716.31386136936,4.15107024375992,0.30923075056594,13.423859807483,4.38278014972046e-41,4.06941136901545e-38,13330.6301787565,12003.4234346064,21490.4573396309,856.655525691684,900.402828161272
"15","LOC101861968",24366.3126626631,-4.03671296002391,0.301453348045127,-13.3908380391238,6.84045275397969e-41,5.9279363565988e-38,3251.39680920179,3346.11163757727,3604.84442848828,71962.4368176514,39666.7736203966
"16","LOC101853324",201.546953058811,-5.6567852973768,0.42672344973943,-13.2563263182068,4.14719404682446e-40,3.36933596341695e-37,6.77172795727836,6.47933097179555,16.070635512904,457.557478945558,520.85559190652
"17","LOC100533370",27169.888926031,5.58103678780789,0.422208363639305,13.2186788999182,6.8455732200617e-40,5.23444742868129e-37,22583.7127375233,50129.6581100719,61270.3023076661,1335.57318178703,530.198293106637
"18","LOC101851270",10221.2953233791,-4.73996867995966,0.365741583153362,-12.9598845148874,2.06558268090654e-38,1.49169495939467e-35,495.303530589503,1058.90780453344,1162.10783052687,18460.8141566708,29929.3432945747
"19","LOC101856757",2303.16885424337,4.00769076341121,0.329170228345169,12.1751313402764,4.21714701933452e-34,2.88519442654365e-31,2520.05018981573,3633.05343775679,4904.55707559439,260.819005197468,197.364562852471
"20","LOC101850568",1426.67921802,-3.70659177419582,0.306255045706905,-12.1029574080655,1.01873722039387e-33,6.62128256394998e-31,212.825735800177,234.181533694896,288.267024512716,3955.00543226161,2443.11636383058
"21","LOC101856141",798.622035172171,4.54263671610319,0.390200413432029,11.6418039544043,2.52615277402915e-31,1.56368856712404e-28,829.052979912507,1066.3127542155,1986.73231528276,58.4594321994325,52.5526942506579
"22","LOC106012346",198.237960877578,-4.89808815501166,0.421108835713496,-11.6314067519213,2.85355732879831e-31,1.68606325986587e-28,25.1521324127482,7.40494968205206,15.0662207933475,542.998187544729,400.568313955015
"23","LOC101860270",217.048510359069,-8.3942460014463,0.722957973274659,-11.6109736827776,3.6246441613951e-31,2.04855432408587e-28,2.90216912454787,1.85123742051301,0,595.836520494216,484.652624756067
"24","LOC100533365",3521.80144191871,3.35625056837675,0.293614425278333,11.4308095223699,2.93361045610914e-30,1.58891676329011e-27,4186.86265701439,6776.45457778789,5569.4796199408,585.718541844314,490.49181300614
"25","LOC100533301",44293.4618643993,-3.15619040477188,0.279033189996589,-11.3111648288523,1.15545280384488e-29,6.00789239887183e-27,8301.17108591508,12965.1412745629,10630.725391786,91809.4140493588,97760.8575203738
"26","LOC101852033",205.388784293064,-3.93796912130157,0.358582898887179,-10.9820327001723,4.66311320357526e-28,2.3313772512798e-25,31.9238603700265,31.4710361487212,28.123612147582,572.227903644445,363.197509154547
"27","LOC100533371",368.018262234525,-3.35831691486959,0.307095258217404,-10.9357498203118,7.77604687062716e-28,3.74373456560305e-25,92.8694119855317,80.5288277923161,61.2692978929466,821.804710342022,783.61906315981
"28","LOC101849693",581.977630440607,3.85212510772992,0.359095765242345,10.727291938768,7.57845996715275e-27,3.51830003975067e-24,608.488126446869,1245.88278400526,927.07478615065,60.7078718994107,67.734583700848
"29","LOC101845286",143.775126390552,-4.0944728785187,0.393345315514372,-10.4093597076767,2.24728028598457e-25,1.00732401508667e-22,16.4456250391046,17.5867554948736,24.105953269356,397.973826896137,262.763471253289
"30","LOC101854008",86.2655675432227,-4.85836248330319,0.48160603846559,-10.0878354822586,6.25331718271772e-24,2.70956233527159e-21,7.73911766546098,7.40494968205206,6.026488317339,174.254076748308,235.903205302953
"31","LOC101857158",1095.32832043733,3.45827571333458,0.345464006576436,10.0105239547421,1.3702489499608e-23,5.74576325823884e-21,2047.96401222261,1781.81601724378,1333.86274757103,210.229111947959,102.769713201287
"32","LOC100533336",11819.8140357099,3.56694584894738,0.358636732331393,9.94584638823721,2.62929297670506e-23,1.06806810638091e-20,11845.6869766962,18344.8372185737,25761.2287271851,2016.85041088042,1130.46684521415
"33","LOC118477214",154.366875059755,-3.60290812663483,0.363003936077629,-9.92525911857976,3.2326200358814e-23,1.27335841958855e-20,20.3151838718351,33.3222735692343,31.1368563062515,321.526877096879,365.533184454576
"34","LOC101849491",1911.46379395948,3.22840578175803,0.328459057826133,9.82894429255459,8.44999050481788e-23,3.23063019329787e-20,2261.75713773097,2637.08770552079,4023.68536654334,254.073686097534,380.715073904766
"35","LOC100533266",258.311683221822,-3.38088413193556,0.346833841840699,-9.74784961580652,1.88416995669259e-22,6.99780721915629e-20,39.6629780354875,67.570165848725,55.2428095756076,667.786590893517,461.295871755775
"36","MRP",29530.5298615952,-3.71110696381884,0.384548985299387,-9.65054415870996,4.88955748295899e-22,1.76553771447178e-19,8235.38858575866,2705.58349007977,4232.6036282111,66683.1004021027,65795.9732018237
"37","LOC100533443",33777.4567817949,3.01597646901617,0.313269816595504,9.62740841678478,6.12548424382397e-22,2.15203161312075e-19,35458.7023637258,53607.2076045056,66962.3205233928,7224.23675602987,5634.81666132054
"38","ATRP",3904.40493955609,2.93462922984817,0.308200524787741,9.5218177576734,1.70175875878415e-21,5.82135844879871e-19,4105.60192152705,6964.35517596996,6886.26731727937,699.264746693212,866.535536310848
"39","LOC101861775",689.781968678907,-3.79677963404631,0.405542136283354,-9.36223216862841,7.80696185173532e-21,2.60212043873609e-18,68.6846692809662,102.743676838472,164.724014007266,951.089993090767,2161.66749017706
"40","LOC101851430",2479.25275607471,2.64360732299493,0.284529131310361,9.2911657615519,1.52607577182263e-20,4.95936473948058e-18,3644.15703072394,4129.18506645428,3428.06743784634,718.376484143026,476.477761205965
"41","LOC118477667",355.240973808998,3.37844834149281,0.365929535907947,9.23251066113091,2.64361401110125e-20,8.38154598300127e-18,598.814229365043,406.346613802607,663.918129626847,38.2234748996289,68.9024213508626
"42","LOC101856227",114.397393543983,-3.76566000155663,0.408793318200912,-9.21164763193586,3.21156836363703e-20,9.93980408545661e-18,26.1195221209308,17.5867554948736,13.0573913542345,295.66982054713,219.553478202749
"43","LOC101845765",15837.6004208674,2.78875068721191,0.308552523765667,9.03817169659534,1.59313995192905e-19,4.81609912444783e-17,18712.2191253765,20951.379506656,32557.0987197044,3913.40929781201,3053.89545478823
"44","ELH",22871.1461615743,-8.44458215541316,0.944506413065696,-8.94073564625526,3.86588155418383e-19,1.14210441642808e-16,283.445184497508,131.437856856424,75.3311039667376,23594.001991721,90271.5146708301
"45","LOC118478957",1055.83233997354,2.66398257404164,0.301717524696522,8.8293929121988,1.05245395459316e-18,3.04018865683478e-16,1374.66077532751,1865.12170116686,1536.75452092145,198.986913448068,303.637789003801
"46","LOC101847635",27739.2280867297,-3.72121473365267,0.422717026606232,-8.80308693389596,1.3310337632367e-18,3.76132780180736e-16,2409.76776308291,5223.26638197747,6530.70450655637,34975.6037530105,89556.7980290211
"47","LOC101852563",576.480586527666,2.52012379858334,0.292736362027191,8.60885125828428,7.37963270842187e-18,2.04101799099523e-15,959.650590517161,914.511285733429,708.112377287333,150.645459898538,149.483219201871
"48","LOC101854325",236.877953336691,7.84318592014215,0.925316600641181,8.47621875010926,2.32631165183219e-17,6.29994274211804e-15,207.021397551081,546.115039051339,427.880670531069,3.37265954996726,0
"49","LOC101859008",44042.136639603,-3.21160401078128,0.379529206349703,-8.4620734242573,2.62665049776418e-17,6.96812853478297e-15,6664.34769967008,9416.31913943945,14607.2032665102,129453.915726243,60068.897366152
"50","LOC101862801",1182.23812123744,2.63750703863857,0.313212410273726,8.42082545941766,3.73840867125316e-17,9.71911486352398e-15,1917.36640161796,1699.43595203095,1722.5712440394,372.116770346388,199.7002381525
"51","LOC106011730",85.645953070198,-3.52498037667489,0.41997087716813,-8.39339241912174,4.72311841421182e-17,1.20383953463411e-14,12.5760662063741,14.8098993641041,22.097123830243,201.235353148046,177.511322802222
"52","LOC101853874",6093.94287850952,2.38139839504097,0.289233247999033,8.23348771801273,1.81840031260963e-16,4.54565108915625e-14,7947.10645272024,9726.40140737538,9340.0524771559,2123.65129662938,1332.50275866668
"53","LOC101858445",444.930679497985,3.12281190987826,0.379504314794177,8.22865982847102,1.89319573280186e-16,4.64333043975308e-14,849.368163784342,672.924802356481,544.392777999623,112.421984998909,45.5456683505702
"54","LOC101850455",286.027755999406,-2.7683863960114,0.34147695977554,-8.10709571102869,5.18440225761056e-16,1.24800083234592e-13,104.478088483723,98.1155832871898,55.2428095756076,637.432654943812,534.869643706696
"55","LOC100533519",3758.49325469119,2.09586778696705,0.260177277465457,8.05553739121322,7.91303743868561e-16,1.87021043028135e-13,5651.49067520288,5369.514138198,5236.01393304804,1111.85343163921,1423.59409536782
"56","LOC101853558",848.140994138392,2.76314750691558,0.344892937732115,8.01160941446059,1.13216945339246e-15,2.62804834368725e-13,1435.60632694301,1434.70900089759,991.357328202266,254.073686097534,124.958628551564
"57","LOC101861132",195.585353112683,-2.54405832653705,0.31797313752464,-8.00085927491251,1.23553931095734e-15,2.81767991283062e-13,64.8151104482357,62.016453587186,73.3222745276246,421.582443745907,356.190483254459
"58","LOC106012996",1967.85594567838,2.40918020767769,0.302095768153521,7.97488896452655,1.52517875769183e-15,3.41824115021312e-13,2347.85482175922,2511.2035609259,3883.06730580543,557.613045594587,539.540994306754
"59","LOC101856076",140.177091183471,7.0804890152563,0.892524247592143,7.93310549753476,2.13732719415416e-15,4.70900274522202e-13,232.173529963829,221.222871751305,244.07277685223,2.24843969997817,1.16783765001462
"60","LOC101860629",670.354006494602,-3.32846355642796,0.42004547876806,-7.92405519085675,2.29887508971768e-15,4.98051288187336e-13,140.27150768648,154.578324612837,140.61806073791,2282.16629547785,634.135843957939
"61","LOC101845678",125.315435779235,6.17784156312787,0.780622239525591,7.91399636126475,2.49255587843712e-15,5.31159571537772e-13,148.978015060124,131.437856856424,340.496589929654,4.49687939995635,1.16783765001462
"62","LOC101845403",101.35253079029,-2.95737001695191,0.374783744272945,-7.89087056774304,3.00085758393844e-15,6.29163673122836e-13,23.2173529963829,28.6941800179517,30.132441586695,220.347090597861,204.371588752558
"63","LOC100533357",8387.81796740306,2.36617708383738,0.299995152240365,7.887384399937,3.08585772427266e-15,6.36715310441592e-13,13605.3688558804,12513.4393439577,11018.4294735348,3047.76001332041,1754.09215032196
"64","LOC118478672",126.790717064876,-8.93816365441934,1.13396648271634,-7.88221150329644,3.21636992104874e-15,6.53274884433009e-13,0.967389708182622,0,1.0044147195565,507.023152345078,124.958628551564
"65","LOC101859434",67.711023297425,-7.44305219143425,0.944977366809068,-7.87643434949921,3.36855786586352e-15,6.73659749205537e-13,0.967389708182622,0.925618710256507,1.0044147195565,228.216629547785,107.441063801345
"66","LOC101846311",1990.35869288015,2.56803713560838,0.326138990396008,7.87405741487761,3.4332126587071e-15,6.76186838644449e-13,3401.3422139701,3132.29371550802,2412.60415637472,661.041271793583,344.512106754313
