"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC196Pp","AC197Pp","AC198Pp","AC208Pp","AC209Pp","AC210Pp"
"1","LOC101850631",43949.5127413123,-8.79936018548755,0.184858010380082,-47.6006431498176,0,0,241.505386152579,174.614092226773,175.941716776878,64896.6981665781,96338.8131740257,101869.503912114
"2","LOC101847465",4703.69619961627,-5.85235540941858,0.171427605102515,-34.1389323260908,1.95182052979397e-255,1.15489220747909e-251,217.233488046792,136.384971443397,129.159526188806,8909.71356163803,9205.2049126717,9624.4807377089
"3","LOC101852738",1827.59750204477,-5.68476291453907,0.20944231306801,-27.142380311151,3.11472251072444e-162,1.2286542063971e-158,74.0292892226498,66.1260467604349,69.1562817388883,2487.68245444139,4270.56720582013,3998.02373428515
"4","LOC101861925",643.521575724797,-5.44255684288461,0.218936155091021,-24.8591048866365,2.06142530537213e-136,6.09872676594344e-133,35.1942522533909,29.9633649383221,22.3740911508168,1372.8287931069,1149.07592116146,1251.69303173789
"5","LOC101857597",797.93554269816,-3.77616258811139,0.15852959708168,-23.8199216904953,2.07660336903938e-125,4.9149048538424e-122,115.291516002487,96.089411698757,114.921468183741,1516.85731190563,1539.59976594147,1404.85378245687
"6","LOC101854709",627.196930796397,-4.83837575708701,0.207053015245282,-23.3678111441909,9.08408128133615e-121,1.79168363138887e-117,48.5437962115737,52.6941935122216,26.4421077236926,1145.84714006333,1188.66820035575,1300.98614691181
"7","LOC101848377",959.582770233822,-6.60558768106526,0.287482979928588,-22.9773174144296,7.8594294051388e-117,1.32869267972018e-113,20.6311133899188,17.5647311707405,20.3400828643789,1950.76601410941,1220.16205880575,2528.03262106274
"8","LOC101847784",1100.47531338271,-2.82321480098979,0.139523963528177,-20.2346229966413,4.85323469721248e-91,7.17914742585156e-88,275.486043500681,284.135357173744,257.302048234393,1861.43186953804,1838.34150895291,2086.15505289648
"9","LOC101846325",943.463294899312,-8.26198817529989,0.414798098546638,-19.9180955849318,2.83572435274861e-88,3.72866244338079e-85,7.28156943173605,7.23253636442257,4.06801657287578,2035.54229416183,2481.71604586007,1124.93930700494
"10","LOC101845676",494.043300356762,-3.66566843903113,0.188694216015635,-19.4265013333922,4.60714698813325e-84,5.45209774575689e-81,82.5244535596752,61.9931688379077,72.2072941685451,808.565165661237,880.928212072883,1058.04150784032
"11","LOC101845452",417.831646559216,-4.0535734576918,0.208857246037338,-19.4083448604275,6.56065780943725e-84,7.05807495608003e-81,33.9806573481016,47.5280961090626,60.0032444499178,824.061905025657,854.83330078574,686.582675636815
"12","LOC106012394",301.960535836357,-4.73503924553453,0.250179960296935,-18.9265328842269,6.89540587014324e-80,6.80001942227292e-77,14.5631388634721,24.7972675351631,25.4251035804736,528.712284197877,647.873659542876,570.391761298277
"13","LOC101848347",2585.64479444182,-2.45119324908103,0.133830213391257,-18.3156940945381,6.20309401050537e-75,5.64672419387081e-72,821.603750880884,792.479341644587,783.093190278588,4049.20683863271,4092.40194944584,4975.08369576831
"14","LOC101857532",1037.97075780624,-3.32806747926992,0.181856339589879,-18.30053044494,8.19471454319947e-75,6.9268751360159e-72,209.951918615056,199.411359761937,154.58462976928,1544.20449901932,1787.05151090577,2332.6206287661
"15","LOC101854731",422.221574282221,-5.46343327760629,0.299304878642989,-18.2537394725298,1.93219021138015e-74,1.52436926409818e-71,13.3495439581828,23.7640480545313,18.306074577941,633.543168133664,659.571378395734,1184.79523257327
"16","LOC101855371",319.550537281543,-3.99705416845337,0.222307413060817,-17.9798510244005,2.80244540022888e-72,2.07275867914429e-69,33.9806573481016,44.4284376671672,34.5781408694441,706.469000436819,574.987872844303,522.859114523421
"17","LOC101846602",421.680942315899,-4.02092334503103,0.230806604894933,-17.4211797225709,5.69898795084096e-68,3.96716608295599e-65,50.9709860221523,56.8270714347488,39.6631615855389,791.245280489237,1006.90364587289,584.475508490827
"18","LOC101857128",293.91391181246,-6.48644633562642,0.378251085060475,-17.1485201016393,6.4473550252579e-66,4.23877774271678e-63,8.49516433702539,3.09965844189539,8.13603314575156,633.543168133664,576.787521898589,533.421924917834
