"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC187Pp","AC188Pp","AC189Pp","AC187A","AC188A","AC189A"
"1","GnRH",16286.0413369398,5.68978879329659,0.14821820378674,38.387921644788,0,0,34439.2485068061,34134.8061093583,27288.6099038042,779.878205404312,520.161799217622,553.543497048249
"2","LOC100533366",53093.5090857603,7.7448908949165,0.140891106075805,54.9707579891482,0,0,93779.7025735467,108700.000877395,114607.030674243,515.065419205182,378.975025144267,580.279945027323
"3","LOC101845620",14545.4941840667,-10.4425466026543,0.208133535760064,-50.1723403896449,0,0,21.8033175278521,21.9805035181401,18.747598646669,26206.4557283937,29796.6017318494,31207.3762244643
"4","LOC101856039",17779.3326329515,-5.84952187592283,0.150048608093578,-38.9841795285082,0,0,664.09271303583,674.984628869551,478.557123349184,41141.5328661948,34907.8106493997,28809.0178168599
"5","LOC101851270",10200.5758891526,-4.95673323952994,0.138580979007821,-35.7677747337188,3.50206399823186e-280,8.30059208860915e-277,584.147215433705,600.800429495829,725.236052910619,23217.0742759396,16302.1184835751,19774.0788775608
"6","LOC101856965",7559.77391192165,4.28477704821615,0.125444319650189,34.156804071835,1.05967054612854e-255,2.09302594036155e-252,16335.2271861796,13037.1861491968,13775.5381424288,832.658760729225,660.110092816648,717.923140178856
"7","LOC106011723",1802.82288013227,-6.08861083650087,0.185574090409026,-32.8095954725192,4.29677708363356e-236,7.27444360259161e-233,36.3388625464202,57.6988217351177,63.1498059677273,4091.4030472553,2865.84381759423,3702.50292569482
"8","LOC101845765",16321.7627569515,3.62478684400891,0.114749988325296,31.588559588636,5.30155877005075e-219,7.85359662298393e-216,25939.5885571984,31192.1662008673,33454.5964271218,2350.55473110775,2509.16144098786,2484.50918442586
"9","LOC100533443",27470.430572411,3.5155111196145,0.113070033008063,31.0914486012737,3.14305631048716e-212,4.13870670395371e-209,46848.9700664086,51756.7589507138,52966.8997554313,4661.97905050909,3831.85858756981,4756.11702383316
"10","LOC101847635",22524.1300563009,-3.53659013865648,0.114321325905531,-30.935524152151,3.97809678552754e-210,4.71444250052868e-207,3867.36344650277,3535.19764916753,3319.31167617867,45994.6139273631,36673.883805791,41754.4098328022
"11","LOC100533336",8130.47341425402,4.3220356442786,0.145958703204864,29.6113595789646,1.06709836086548e-192,1.14965297041971e-189,13717.9206112736,19437.1760902286,13302.9013133891,701.617381991511,855.79000776042,767.435080880846
"12","LOC100533236",392901.429062328,-11.628001039729,0.39509721359375,-29.4307341070879,2.22138432680311e-190,2.19380213807864e-187,254.372037824942,205.151366169307,285.160842573019,849473.007638508,1101259.31473311,405931.567755778
"13","LOC101845589",1285.73189335422,-7.33032464262781,0.24953962769971,-29.3753930395735,1.13271819902419e-189,1.03260333666428e-186,19.9863744005311,15.5695233253492,11.8405886189489,2449.7457747356,2117.80161110032,3099.44748794458
"14","LOC101856757",1446.39747311307,4.17798679432605,0.159007475417925,26.2754111612984,3.66361416203827e-152,3.10124938816539e-149,2342.03969111678,3084.59732704566,2796.35234550843,117.391235119202,154.810059290959,183.194180597363
