"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC190A","AC191A","AC192A","AC193A","AC194A","AC195A","AC202A","AC203A","AC204A","AC205A","AC206A","AC207A"
"1","LOC101856679",1590.93086476618,-1.92253768809055,0.134929147541443,-14.248497994105,4.58026787198297e-46,5.12715185589773e-42,2818.15557119485,2724.15694765116,2126.44583439312,571.517194667868,578.683536056678,565.414375793838,2611.52075502999,2177.50766785993,2647.86079500249,745.367063703266,721.157358709984,803.383277130965
"2","LOC106013078",110.723859610764,-3.39746272107888,0.284096730250697,-11.9588237361297,5.83830556628268e-33,3.26769962544842e-29,173.57559582533,173.923247804183,168.363903592682,25.4636373861921,14.8380393860687,6.92344133625108,247.115256510723,282.697219501543,167.684851524458,26.4559297302085,12.7316557653717,28.913536966153
"3","LOC101845085",596.083694690454,-1.5706526136465,0.153797493661726,-10.2124721037464,1.74364777279608e-24,6.50613105622645e-21,937.308217456782,681.279462393182,897.292017991056,226.343443432819,269.703186487954,258.47514322004,916.175610873089,1036.55647150566,882.295294358341,343.927086492711,347.392321598,356.256080475813
"4","LOC101864389",1511.49439644479,-1.05126549169362,0.104003195118167,-10.1080114942544,5.09070132493621e-24,1.4246327657834e-20,2332.14390288392,1874.71964898321,1838.37811495131,873.308452578293,907.738880088906,904.66300127014,2182.01090442802,2025.0728926385,1981.02103661453,1076.64131423805,1070.36848827447,1071.8661203881
"5","LOC101863543",544.094649060251,-0.792136300292683,0.0973875823356579,-8.13385322127097,4.15856020266109e-16,9.31018458171765e-13,713.88527103546,622.664445177408,692.919649468148,376.295974707062,376.187939729152,366.942390821307,688.392500279871,788.965442661169,631.742928999122,418.693844425909,422.872852206989,429.572549211416
"6","LOC101849343",510.174233651632,-2.29727416434396,0.295925014066175,-7.76302798056214,8.29253083480011e-15,1.54710983607921e-11,1258.6456025488,1277.9995556882,1076.36114088732,188.619536194016,215.587984021115,145.392268061273,409.337176601096,462.847408399585,602.495571175088,141.481711165898,156.417485117424,186.905363959775
"7","LOC101861245",557.754471491361,-0.820821666874489,0.112328394973761,-7.30733904874389,2.7248440505522e-13,4.35741490026877e-10,828.71220365837,712.989225804995,800.945044258828,389.499342240643,360.477074496844,426.945549068816,699.319365363679,628.216043336762,602.495571175088,403.740492839269,410.141196441618,429.572549211416
"8","LOC100856795",652.10628804251,-1.16813344304064,0.160388416373501,-7.283153418763,3.26106006983315e-13,4.56303830271404e-10,1048.57462503712,1077.17105408005,1032.56706191812,323.482504572737,426.811838811034,362.326763263806,725.375735948143,800.051608131818,732.158857528303,371.533274037276,419.235236274026,505.986896907677
"9","LOC101861135",338.695358045768,0.827392687883842,0.115514061959079,7.16270100671333,7.91027558294324e-13,9.83862498616296e-10,198.499271123326,241.186382314088,222.863201865458,457.402375270489,442.522704043342,406.175225060063,260.56370584464,295.6310792173,246.652717649348,395.688688138771,451.064375687455,446.094570334932
"10","LOC101864551",326.594935377117,-0.652400322705425,0.0947131400729904,-6.88817118936881,5.65141799452209e-12,6.32619730306803e-09,404.119592331794,395.89159168687,433.074780917592,257.465666904832,267.957534795475,250.397794994414,381.599749849892,424.969676374869,356.817765453208,240.40388320059,271.00238700577,235.438801010103
"11","LOC101858729",597.593303701586,-0.94661155312398,0.144483712582979,-6.55168348183418,5.68920287687696e-11,5.78953972761461e-08,693.412252040677,663.983227804921,783.42741267115,324.425602253707,366.58685542052,376.173645936308,829.601218285998,911.83710996086,839.399169549759,389.937399066986,518.360270447277,473.975480980865
"12","LOC101854569",145.575095474517,-0.950599850447053,0.146180845629739,-6.5029029374671,7.87846338093069e-11,7.34929325717818e-08,210.961108772324,195.063090078725,185.88153518036,88.6511820111875,105.611927394959,85.3891098137633,182.394594091248,178.302494652934,197.907121275959,139.181195537184,91.8498023073246,85.7079845782392
"13","LOC101846369",253.018131665868,-1.09240198427567,0.171770364610818,-6.35966504903648,2.02194167180913e-10,1.74104731340242e-07,355.162372996445,287.309674549452,307.531754539234,129.204382292901,147.507568014447,113.082875158768,387.483446433481,403.721192556125,325.620583774239,185.19150811146,190.974836480576,203.427385083291
"14","LOC101862343",326.277260504148,-0.977226451221574,0.155344196610751,-6.2907174683212,3.16002015205334e-10,2.52666182729179e-07,552.771512859128,381.478062863319,407.771535290946,205.595294451477,212.969506482397,170.778219627527,461.449917770023,355.681142183314,436.760543505566,287.564453589223,224.622783860487,217.884153566367
"15","LOC101845107",1071.75965197209,-0.644035168253165,0.105254200023003,-6.11885481161238,9.42502273816376e-10,7.03358030206701e-07,1317.39426575122,1106.95901364872,1238.88583395077,765.795316947704,786.416087461639,762.732453876994,1476.80784248075,1264.74671077651,1437.02018108751,902.95238427016,880.303055777131,921.102677636016
"16","LOC101863673",1972.23319533226,-0.490255724520038,0.0809041016943493,-6.05971408436365,1.36363721655435e-09,9.54034687631838e-07,2631.22800645987,2189.8954792582,2192.62355372435,1541.96470838608,1632.18433246755,1689.31968604526,2087.03123100723,2431.56562656229,2292.01794147675,1662.12254174571,1691.49140882796,1625.35382802588
"17","LOC101858131",88.4506295187389,-1.98695189761891,0.330064440204038,-6.01989083219816,1.74534743160348e-09,1.1492599499629e-06,101.47496371327,162.392424745342,72.9901316153245,64.1306423059654,37.5315113882913,23.0781377875036,223.580470176368,103.470877726055,184.25835429141,21.8548984727809,26.3727155139843,40.2724264885702
"18","LOC101859924",402.460136822508,-0.749302043429538,0.125028730807066,-5.9930388686885,2.05955600192905e-09,1.2808149936441e-06,565.233350508126,439.132178157524,581.974649412854,268.782839076473,288.905355105219,278.091560339418,511.041074688842,420.350440762098,510.853849993117,286.414195774866,348.301725581241,330.44042247032
"19","LOC101849332",1133.64121904466,-0.906263071659902,0.158044359035498,-5.73423232053698,9.79549902353546e-09,5.77109558260294e-06,1584.43364394404,1138.66877706054,1169.78850935493,737.502386518602,737.537840072236,703.883202518859,1546.57167340044,2058.33138905045,1372.67599387463,818.983563822107,880.303055777131,855.014593141952
"20","LOC101857099",1494.82086792874,-0.704930908316724,0.123664518206923,-5.70034896458489,1.19562422600744e-08,6.69190879296364e-06,2122.96305663288,1699.83549925746,2013.55443082809,974.219904442092,947.016043169676,1089.28810357017,1693.66408799016,1809.81651308341,1777.26444377376,1150.25781435689,1311.36054383329,1348.60997420699
"21","LOC101852258",527.045184895224,-0.688455015476974,0.120974913020177,-5.69089076643642,1.26378339196088e-08,6.7365672807667e-06,666.708314221396,588.071976000885,626.74193013692,454.573082227578,398.881411731375,377.327552825684,566.515928191249,808.366232234805,647.341519838606,399.139461581841,442.879739838288,347.995069914055
"22","LOC101857902",155.053245622768,-1.2350205903114,0.217665422167503,-5.67394020608839,1.39549858515516e-08,7.10055052828493e-06,182.476908431757,145.096190157081,180.042324651134,88.6511820111875,81.172803700258,63.4648789156349,279.895851762145,260.524888560246,258.351660778962,89.7201095198375,130.04476960344,101.197379381535
"23","LOC101856093",25.6312127830587,-1.67401242870967,0.295626379954313,-5.66259489078198,1.4910087563368e-08,7.25667479062356e-06,40.0559067289223,34.5924691765226,31.1424561558718,12.260269852611,6.10978092367533,19.616417119378,31.0995390846828,43.4208147600409,53.6201560107279,8.05180470049824,17.2786756815759,10.3262632021975
"24","LOC101857824",137.175073634894,-1.2971659442104,0.231597622681696,-5.60094671607751,2.13184265749141e-08,9.9432694616495e-06,229.653865245821,231.577363098388,296.826535235653,76.3909121585764,70.6988935453859,70.3883202518859,144.570830339607,120.100125932028,147.211701047635,88.5698517054807,78.208742558712,91.9037424995577
"25","LOC101846746",452.867049472504,-0.73320525949646,0.131340444050082,-5.58247891423968,2.37114364948832e-08,1.06170328049489e-05,624.872144971188,552.518604902792,529.421754649821,327.254895296618,305.489046183766,312.708767020674,514.403187022321,697.504577528317,474.782108676809,338.175797420926,416.507024324304,340.766685672517
"26","LOC101845924",69.9686004497181,-4.08432470185257,0.7406019713966,-5.51487149588666,3.49034893396491e-08,1.50272946026166e-05,23.1434127767107,83.5984671765964,36.9816666850978,1.88619536194016,3.49130338495733,12.692975783127,137.846605672648,64.6692985787844,446.509662780243,6.90154688614135,13.6410597486126,8.26101056175799
"27","LOC101859754",383.466719029478,-0.76848391202577,0.140144645080818,-5.48350535678766,4.16979644962142e-08,1.72876672063193e-05,580.365581939052,512.160724196849,544.992982727756,286.701695014904,219.952113252312,321.940022135675,404.294008100877,423.121982129761,433.835807723162,273.76135981694,301.012718452717,299.461632863727
"28","LOC101856183",466.856053296659,-0.535746516767716,0.0985106042380378,-5.43846544147831,5.3741430950933e-08,2.14850563594551e-05,572.354400593268,507.356214588999,617.983114343081,368.751193259301,330.800995724707,410.790852617564,548.864838440483,559.851356267762,507.929114210714,386.486625623916,418.325832290785,372.778101599329
"29","LOC106011018",75.2857705594818,-1.11655821259479,0.206037469636471,-5.41919979198362,5.9866385821812e-08,2.31084249272194e-05,111.26640758034,131.6435632551,114.837807074777,40.5532002817134,68.9532418529073,53.0797169112582,76.4880555866524,95.1562536230684,89.6918973270358,37.9585078737774,44.560795178801,39.2398001683505
"30","LOC106011636",25.6194689464062,-2.06323126232207,0.381433566644449,-5.40914969931133,6.33246823196052e-08,2.36285497961887e-05,44.5065630321359,31.7097634118124,22.3836403620329,4.7154884048504,20.0749944635047,10.3851620043766,38.6642918350111,36.9538849021625,74.0933064875513,10.352320329212,6.36582788268586,7.22838424153824
"31","LOC101861455",627.379395401816,-0.715177635481057,0.133392110058345,-5.36146879428059,8.254798420011e-08,2.98078108108397e-05,961.341761494136,875.381650550337,823.328684620861,442.312812374967,510.60312005001,557.337027568212,689.233028363241,665.169928238925,663.915022605558,433.647196012548,444.69854780477,461.583965138228
