"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC193Pp","AC194Pp","AC195Pp","AC193A","AC194A","AC195A"
"1","GnRH",13353.0703376356,5.77844781480122,0.132478786695097,43.6179101496488,0,0,23867.7045278148,27488.2690749489,27331.308211453,489.20697085384,525.195330637886,416.737910105457
"2","LOC100533236",400014.609171781,-10.572694062149,0.166443344952931,-63.5212784574764,0,0,561.193394249217,523.870914912862,490.208724675292,584423.049643008,908289.695509261,905799.636844579
"3","LOC100533237",92590.5130652734,-7.5159582722602,0.171525104096709,-43.8184154549328,0,0,820.728353817256,954.158996038344,1243.51681550542,219246.734247576,185847.009663714,147430.93031499
"4","LOC100533366",63882.9355305611,7.87755002157215,0.1368345703418,57.5698816599839,0,0,116619.52026161,119169.538270629,145887.357498113,534.980722512679,593.813816047861,492.402614454213
"5","LOC101856039",15912.5326675839,-5.63241749946533,0.146528700759267,-38.4390052616304,0,0,619.622730696472,595.264004606328,672.640832339261,35842.7547885232,32387.9251135082,25356.9885358301
"6","LOC101845765",17933.2874986445,4.17597212843206,0.119260211029432,35.0156359139888,1.30086014518816e-268,2.48551011740618e-265,33996.3620598575,31739.0522261572,36222.081131893,1917.7294705401,1733.93634285976,1990.56376055959
"7","LOC101856965",7629.75348290782,4.68503403066094,0.14007999251363,33.445418910949,3.00034281578174e-245,4.91370429144598e-242,12900.6539588428,17333.0844517946,13831.3322443193,546.424160427388,581.497677640943,585.528404421913
"8","LOC101856757",1823.26535059408,4.85926246103511,0.153842559134863,31.5859440220006,5.7586443214354e-219,8.25213731261693e-216,3138.87830681765,3475.10687940355,3960.14187452875,120.156098104452,112.604694006113,132.704250703972
"9","LOC101860667",1520.59162019469,-6.81327159408263,0.218362048444133,-31.2017204575079,1.00970268651076e-213,1.28613684423992e-210,27.1764355568628,25.0840585409474,28.5437991583081,3323.36509439694,2840.62935113858,2878.75098237652
"10","LOC101845589",1402.18912143141,-6.77044273968466,0.221654451372327,-30.5450339380368,6.58195952086354e-205,7.54555839471796e-202,25.8176137790197,31.8374589173563,17.3744864441875,2686.3470504781,2941.7976309097,2709.96048806007
"11","LOC100533239",22570.7066116049,-5.79274572772521,0.192020222826102,-30.1673732197012,6.34817240063177e-200,6.61594985462206e-197,815.293066705884,884.695449309566,698.702562005542,52589.2725568747,51669.7195137112,28766.5565210225
"12","LOC100533336",8986.56041644709,4.36153639098222,0.151078220385187,28.8693921589897,2.89330846690183e-183,2.76407402204689e-180,16319.4495518961,16732.0318182942,18366.0732062523,640.832523223744,948.342657332733,912.632741683459
"13","LOC106011723",1952.67186413921,-6.39631991464992,0.223543545062222,-28.6133062480938,4.58958033734894e-180,4.04730376825909e-177,39.405831557451,34.7317733643887,64.5338067926966,3295.7101194364,4932.6134319709,3349.03622171341
"14","LOC100533443",31274.2053053457,3.86059189811852,0.135720814259073,28.4450982643618,5.60320975141804e-178,4.58822832787545e-175,49524.9773370489,60314.6187617079,65721.4770446314,4171.13311991169,4254.34609541846,3658.67947335601
"15","LOC101845620",18398.2637705586,-10.2721396748367,0.379495709259933,-27.0678677629023,2.35365261471133e-161,1.79881823833671e-158,27.1764355568628,25.0840585409474,37.2310423804019,40829.232859858,46123.0586097383,23347.799617277
"16","LOC101860629",1026.98695219014,-3.88428835637079,0.149067561987022,-26.0572340795979,1.11393714795794e-149,7.98135966511862e-147,123.652781783726,129.279378634113,137.754856807487,2052.18986603794,1858.85717527279,1860.18765460481
"17","LOC101851270",12307.8093516666,-4.83074031446777,0.19976947707351,-24.181573607915,3.47689883692803e-129,2.34465695685547e-126,663.105027587452,1138.43034916607,701.184631497569,18340.970117801,23457.8450443203,29545.3209396274
"18","LOC101856141",723.152883159205,5.65971708252974,0.241997809436035,23.3874723730742,5.73193075515734e-121,3.65060300984021e-118,1145.48675872177,1872.62144722995,1237.31164177536,31.4694542654517,29.9106218453738,22.1173751173287
"19","LOC106013742",810.122974219937,-4.62982552497816,0.202077383220546,-22.9111514173023,3.59710727496162e-116,2.17038093685053e-113,80.1704848927453,43.4147167054858,68.2569110307368,1357.00101271933,1818.38986336434,1493.50485660699
"20","LOC101862698",513.024172598075,-5.42454766353468,0.237212204558903,-22.8679113438604,9.69642188195596e-116,5.55798902273715e-113,21.7411484454902,20.2602011292267,28.5437991583081,902.124355609615,1031.03672949347,1074.43880175234
"21","LOC101850568",1029.65416163469,-3.15260510600192,0.141752783648176,-22.2401636487544,1.40443175800529e-109,7.66685984465365e-107,205.182088454314,209.355411668676,209.734872076264,1685.046232941,1932.7540057143,1935.85235895356
"22","LOC101861341",891.7641845454,-5.9945775901756,0.271113299479973,-22.1109683725362,2.47893402546669e-108,1.29174998490682e-105,24.4587920011765,27.0136015056356,31.0258686503349,1151.01913025455,1693.46903095131,2423.59868390939
"23","LOC101849491",1602.26590949001,3.44490676898546,0.160040581644522,21.5252077541008,9.04143002656898e-103,4.50656320976464e-100,2599.42606101393,3289.87075479348,2913.94958363945,214.564460900807,277.992838327591,317.791758264776
"24","LOC101847844",753.459890534636,-5.58159780167537,0.268347877910109,-20.7998581734456,4.34090639787464e-96,2.07350628938478e-93,21.7411484454902,32.8022303997004,37.2310423804019,963.156024488067,2008.41028449966,1457.4186129945
"25","MRP",21481.052627342,-2.9970201884848,0.146935152591835,-20.3968902990158,1.78193247523897e-92,8.17122955845583e-90,4009.88306641511,5491.47927750278,4842.51757894427,40224.6378900308,41751.7091994541,32566.0887517047
"26","LOC101847635",25587.1022488522,-3.82750304939817,0.188096587462604,-20.3486044113327,4.77681240479104e-92,2.10620682340479e-89,2936.41386191903,4394.53410207751,2767.50748360987,38463.3020709918,44517.5619959792,60443.2939785356
"27","LOC101853874",3300.66134755973,2.82767259953325,0.139484633180933,20.2722875993468,2.25907712519344e-91,9.59187413452505e-89,5346.96369581275,6491.94730469365,5521.3635850136,770.524819590453,935.146794753891,738.021885494022
"28","LOC106011873",608.63647116869,-6.55428876574297,0.328461667859147,-19.9545012617838,1.36982904169812e-88,5.6084714764383e-86,17.6646831119608,13.5068007528178,7.44620847608038,768.617579938002,1366.21163899604,1478.37191573724
"29","LOC118477667",403.876853860722,4.60538977063287,0.230889934908392,19.9462560915014,1.61541428527376e-88,6.38589978150979e-86,702.510859144903,861.540933733307,763.236368798239,16.2115370458387,41.3470360803696,38.4143883616762
"30","LOC101852515",1504.28538088495,4.02918505797131,0.204810062903095,19.6727885381183,3.68923253178148e-86,1.40977872481143e-83,2151.01487432569,3632.36463102565,2721.58919800738,229.82237812042,140.755867507641,150.165336322916
"31","LOC101856383",1841.55519185342,-2.81719560303198,0.145077996591426,-19.4184898414739,5.38502678180743e-84,1.99141764602066e-81,396.775959130197,534.483401218648,438.085265342729,3056.35154305372,3079.03460172965,3544.60038064558
"32","LOC101854331",7983.81765855629,2.59242857316128,0.133974911883713,19.3501047077489,2.03428475559965e-83,7.28782513693575e-81,12771.5658899477,14419.4745751154,13898.348120604,1910.1005119303,2501.93554494832,2401.48130879206
"33","LOC118477856",315.096745173271,-5.13946465203809,0.278910039169817,-18.426961852416,7.98428771859656e-76,2.77369316381791e-73,20.3823266676471,20.2602011292267,11.1693127141206,524.490904424195,734.569683555502,579.708042548932
"34","LOC118478957",797.398571038701,3.06405159974462,0.166402991739874,18.4134405740399,1.02499212789202e-75,3.45603228063356e-73,1629.22731163392,1427.86179386931,1217.45508583914,150.671932543678,199.697387026466,159.477915319686
"35","LOC100533301",33247.9234044425,-2.53255160292294,0.141677667034495,-17.8754468218786,1.83201629099801e-71,6.0006385028575e-69,8549.70662618904,9411.34581026698,11436.1351845134,63133.4469754534,56756.2846757686,50200.6211544632
"36","ATRP",3112.29281963135,2.72808064255419,0.152681719491494,17.8677621108804,2.10261670341631e-71,6.69566607999018e-69,4624.0705100002,5879.31741340512,5723.65224861378,888.773678042454,899.078103705058,658.864964021477
"37","LOC100533370",18687.041387204,6.35517358924632,0.356292043680268,17.8369786863649,3.64900085969319e-71,1.13059853663575e-68,30429.4548930193,33219.0116800731,47119.6072366366,428.175301975388,304.384563485274,621.614648034397
"38","LOC106014153",288.972635224499,-5.92189804634735,0.33718861118185,-17.5625683963377,4.76686887812551e-69,1.43808907417976e-66,16.3058613341177,6.7534003764089,6.20517373006698,518.76918546684,563.023470030565,622.778720408993
"39","LOC100533452",6942.95080012602,7.75990968728295,0.453689678547642,17.1040031418041,1.38552051448927e-65,4.0727197892577e-63,10865.1389356337,12282.5057417231,18318.9138859037,32.4230740916775,92.3710380518895,66.3521253519862
"40","LOC101846049",294.408463589776,-5.59779564570449,0.342132956632237,-16.3614628090963,3.60366563321038e-60,1.0328105704781e-57,8.15293066705884,15.4363437175061,11.1693127141206,383.355170142775,582.377401812866,765.959622484332
"41","LOC101852033",221.900236621683,-3.89904062222199,0.246031829479949,-15.847708121602,1.45802065514848e-56,4.07676799771273e-54,29.8940791125491,19.2954296468826,35.9900076343885,462.505615719517,384.439463130245,399.276824486513
"42","LOC101861103",251.101252526685,-5.14610710690381,0.325081377296469,-15.8302119601599,1.92571397431182e-56,5.25628214321682e-54,8.15293066705884,18.3306581645385,13.6513822061474,329.95245987413,549.827607451723,586.69247679651
"43","LOC101850723",329.995692126947,-2.89935994520698,0.192481721501968,-15.0630403894083,2.83446053751883e-51,7.55680362839904e-49,82.8881284484315,78.1464900698745,73.2210500147904,493.021450158743,672.98899152091,579.708042548932
"44","LOC101849085",237.769192752025,-3.41399454669889,0.227945224404009,-14.9772584866615,1.03394866897754e-50,2.69390625935422e-48,36.6881880017648,54.9919744936154,28.5437991583081,396.705847709936,455.697121055988,453.988226092537
"45","LOC106012996",1544.19960958318,2.92995977326995,0.197919327813027,14.803808226541,1.38418653821965e-49,3.52629210536668e-47,2564.09669479,2571.1160004471,3056.668579431,245.080295340033,498.803605480204,329.432482010738
"46","LOC106013926",287.413624903574,-4.18845785389764,0.283594484179722,-14.7691795417406,2.31514062715718e-49,5.76973307602825e-47,24.4587920011765,36.6613163290769,27.3027644122947,389.07688910013,456.576845227911,790.405142350853
"47","LOC101847487",911.739591217327,-2.62021350854236,0.178025588688046,-14.7181847724922,4.92709095455311e-49,1.20179086602121e-46,275.840820902157,236.369013174312,254.412122932746,1965.41046185139,1525.44171411406,1212.96341432929
"48","LOC100533266",225.718112693861,-3.00633457650675,0.210654262132007,-14.2714158549654,3.2981379730151e-46,7.87705285888441e-44,47.5587622245099,57.8862889406478,43.4362161104689,435.804260585195,406.432567428314,363.19058087403
"49","LOC101846834",524.76587732721,-2.61996130158407,0.185371790139607,-14.1335491209905,2.35946805575062e-45,5.52019220227042e-43,154.905682674118,157.257751622093,127.82657883938,692.327993839937,1011.68279771117,1004.59445927656
"50","LOC101846793",284.455296136166,2.95166894277256,0.209942571041315,14.0594112386653,6.74449800848554e-45,1.54637850338557e-42,486.458196467844,472.738026348623,552.260461975961,88.6866438390002,48.3848294557517,58.2036187298124
"51","LOC100533371",290.897441889834,-2.73105402348741,0.195280566015544,-13.9852832220387,1.91712129779624e-44,4.3093879525365e-42,76.0940195592158,59.815831905336,94.3186406970181,518.76918546684,529.5939514975,466.793022213096
"52","LOC101853324",142.97576484467,-4.64656941172735,0.340680743511696,-13.6390726515126,2.34523884656597e-42,5.17034964173698e-40,14.9470395562745,7.71817185875303,11.1693127141206,225.054278989291,275.353665811823,323.612120137757
"53","LOC101861028",287.676861994901,2.47601375982863,0.187706790303995,13.1908587633866,9.90504273937403e-40,2.14247943328649e-37,531.299315136668,448.61873929002,484.003550945225,72.4751067931615,104.687176458808,84.9772833455262
"54","LOC101860677",183.584797763092,-2.81992816351623,0.218602684916162,-12.8997874138542,4.51340542663602e-38,9.58179255758433e-36,40.7646533352942,40.5204022584534,55.8465635706028,328.045220221678,329.016840299111,307.31510689341
"55","LOC101864271",267.157818335073,2.34814022130092,0.184397806676323,12.7341006036078,3.82225272489903e-37,7.96696458877137e-35,413.081820464314,427.393766678449,498.895967897385,95.3619826225809,77.4157271292027,90.7976452185074
"56","LOC101845286",122.241345302468,-4.25213513009025,0.334198590205017,-12.723378418448,4.38483562111427e-37,8.97638492150963e-35,6.7941088892157,18.3306581645385,9.92827796810717,205.981882464775,270.075320780287,222.337823547884
"57","LOC100533412",538.764361333236,-6.79807572400838,0.541726119136098,-12.5489162952848,4.02987427860429e-36,8.10499626840695e-34,8.15293066705884,3.85908592937652,17.3744864441875,859.211463429454,1398.76143335718,945.226768172154
"58","LOC101863735",460.201369288856,1.994270058623,0.159120632187977,12.5330702323195,4.92196829189081e-36,9.72852491348902e-34,724.252007590394,653.150293546975,830.252245082962,194.538444550065,178.58400690032,180.431218062419
"59","LOC101857079",220.478942766852,2.68848201085342,0.215675040256567,12.4654295075369,1.15249156130125e-35,2.23934970487415e-33,361.446592906275,385.908592937652,395.890083978273,59.1244292260001,41.3470360803696,79.1569214725449
"60","LOC101849091",318.829023663699,-2.73383255193537,0.224269401061557,-12.1899489586856,3.51641558487905e-34,6.71869804417558e-32,59.7881582250982,108.054406022542,79.4262237448574,468.227334676872,490.886087932899,706.591931379923
"61","LOC101862686",182.454339495548,-2.57337907240547,0.213706463835656,-12.0416529580708,2.14611788859009e-33,4.03329434013062e-31,44.8411186688236,54.9919744936154,57.0875983166162,287.993187520194,341.33297870603,308.479179268006
"62","LOC101859008",35088.2708848355,-2.10483394230879,0.174852162651356,-12.0377918716722,2.24894991188184e-33,4.15838093384086e-31,10889.5977276349,15895.5749431019,12922.8948102375,55828.7191065638,44211.4179841501,70781.4207373249
"63","LOC101862248",534.072061471387,-5.20804089017937,0.432716946371289,-12.0356758242388,2.30736724391009e-33,4.19867588637862e-31,21.7411484454902,28.9431444703239,33.5079381423617,588.383432781324,1343.33881052605,1188.51789446277
"64","LOC101863505",166.387037175026,2.87291471858817,0.240140620223326,11.9634683874657,5.52068637129113e-33,9.88892946257523e-31,277.199642680001,243.122413550721,358.659041597872,48.6346111375163,36.9484152207558,33.7580988632912
"65","LOC101851996",1000.17143285836,1.75066211631063,0.146439667504625,11.9548353676461,6.12548481707207e-33,1.0803470452756e-30,1463.45105473706,1477.06513946886,1686.56621983221,397.659467536162,526.954778981732,449.331936594152
"66","LOC101845678",91.2754520975564,4.90763125138879,0.424331549362644,11.5655582498171,6.15894208066559e-31,1.05819304369872e-28,120.935138228039,222.862212421494,186.155211902009,5.72171895735485,6.1580692034593,5.82036187298124
"67","LOC101860270",292.845554495266,-8.55708130288536,0.739898927055636,-11.5652030162248,6.18448481575488e-31,1.05819304369872e-28,1.35882177784314,1.92954296468826,1.2410347460134,632.249944787711,520.796709778272,599.497272917068
"68","LOC101852500",1788.04962848135,2.15903707289546,0.187661225099872,11.5049716410326,1.24530276766133e-30,2.09943396006905e-28,2939.13150547471,2985.96773785508,2839.48749887865,420.546343365582,753.923615337803,789.241069976257
"69","LOC101856227",120.925357590434,-3.51564685078157,0.309494345794818,-11.3593249716824,6.66576929243908e-30,1.10748375606553e-27,35.3293662239216,13.5068007528178,11.1693127141206,201.213783333646,212.893249605307,251.43963291279
"70","LOC101857653",90.6651222550594,-4.40869718802099,0.391185327744928,-11.2700985321609,1.84363468154482e-29,3.01934685560425e-27,6.7941088892157,7.71817185875303,9.92827796810717,135.414015324065,190.900145307238,193.236014182977
"71","LUQ-1",4427.77574487478,-7.57042973554887,0.676153415097805,-11.1963196021924,4.2502631126292e-29,6.86267835537763e-27,85.6057720041178,27.9783729879797,26.0617296662813,5041.78802125585,10638.5044110619,10746.7161622726
"72","LOC101863661",88.2919011877231,-4.70041745264065,0.420605616140285,-11.1753558969905,5.38341428977335e-29,8.57159186360579e-27,4.07646533352942,8.68294334109716,6.20517373006698,201.213783333646,144.274764195332,165.298277192667
"73","LOC118478627",104.118557934861,-3.11505333533838,0.284562667225057,-10.9468095928224,6.88293681201751e-28,1.08090393990368e-25,27.1764355568628,18.3306581645385,19.8565559362143,173.558808373097,178.58400690032,207.204882678132
"74","LOC101852101",194.063043798894,-2.22096962186532,0.203808656403879,-10.8973272335603,1.18692696849744e-27,1.83877442795333e-25,82.8881284484315,67.534003764089,55.8465635706028,308.972823697162,329.016840299111,320.119903013968
"75","LOC101861311",1092.24411576042,1.87682077449596,0.172982828865513,10.8497518904325,1.99967414207385e-27,3.05656858196461e-25,1826.25646942118,1598.62634624422,1723.79726221261,369.050872749388,422.267602522924,613.466141412223
"76","LOC101847448",637.771968966933,-2.12464006657641,0.198122728782029,-10.723858285406,7.86523735150322e-27,1.18640896049517e-24,214.693840899216,237.333784656656,261.858331408827,801.04065402968,1401.40060587295,910.304596934267
"77","LOC101851187",279.516212422271,-5.63375032822208,0.53036001933309,-10.6225019286075,2.34198497738176e-26,3.48682023126033e-24,17.6646831119608,9.64771482344129,6.20517373006698,362.375533965807,786.473409698945,494.730759203406
"78","LOC118477173",382.154963528953,-1.89186208957995,0.178924350237138,-10.5735305847,3.95325748673434e-26,5.81027484973365e-24,191.593870675883,167.870237927878,127.82657883938,575.032755214163,676.5078882086,554.098450307814
"79","LOC101854325",120.20951310216,7.18445326978258,0.684489245623917,10.4960791067417,9.0042908842064e-26,1.30664798350053e-23,172.570365786079,281.713272844486,261.858331408827,1.90723965245162,0.879724171922758,2.3281447491925
"80","LOC118478055",103.442303462185,-2.79948616911218,0.268102749638394,-10.4418405737651,1.59684141464325e-25,2.28827374718378e-23,28.5352573347059,27.0136015056356,22.3386254282411,173.558808373097,179.463731072243,189.743797059189
"81","LOC101854328",693.363012560497,1.71642183489485,0.166194224204895,10.3278067761172,5.27529477456077e-25,7.46617028340304e-23,1182.17494672353,836.45687519236,1172.77783498266,337.581418483936,341.33297870603,289.854021274466
"82","LOC101859155",141.682795882489,2.3167584756035,0.224860506557566,10.3030919527453,6.82322286850303e-25,9.53919841030717e-23,230.999702233334,217.073583527429,260.617296662813,42.9128921801614,55.4226228311337,43.0706778600612
"83","LOC100533519",3595.57699359984,3.92261850712403,0.380888357294572,10.2986043862988,7.14909276804289e-25,9.87436138467996e-23,6564.46800876021,5825.29021039385,7848.30373378872,528.305383729098,243.683595622604,563.411029304584
"84","ELH",51018.9421705216,-7.8643440634972,0.768592092129201,-10.2321428284682,1.42334542185444e-24,1.94252760906421e-22,809.857779594511,435.111938537202,63.2927720466832,72838.4359469535,91228.2763525619,140738.678233436
"85","LOC101861968",9680.54814164178,-2.0789715591943,0.203490976770069,-10.2165294608782,1.67220902190827e-24,2.25531814437135e-22,4443.34721354707,2454.37865108346,4222.00020593757,19689.3885520843,15079.352030928,12194.8221962703
"86","LOC101854008",83.2626761382051,-5.00408718394745,0.49574353051484,-10.0941048665841,5.86638299301725e-24,7.82002495720346e-22,4.07646533352942,5.78862889406478,4.96413898405359,94.4083627963551,164.508420149556,225.830040671672
"87","LOC101852117",78.7104284136912,-4.12742940755462,0.413066992621296,-9.99215498038763,1.64955973825903e-23,2.1736267631496e-21,5.43528711137256,8.68294334109716,11.1693127141206,95.3619826225809,161.869247633787,189.743797059189
"88","LOC101859313",93.6923035118865,-2.8875381016974,0.289549486247976,-9.97252020410924,2.01061111415099e-23,2.61927793325306e-21,23.0999702233334,26.0488300232915,17.3744864441875,181.187766982904,172.42593769686,142.016829700742
"89","LOC106012205",1082.26064328261,-1.84544537088179,0.185915693438674,-9.92624848794988,3.20071742209128e-23,4.12281174459039e-21,411.722998686471,414.851737407976,587.009434864337,1398.96028507326,1526.32143828598,2154.69796537766
"90","LOC101851086",305.444472387192,1.64581484993619,0.167344866077011,9.834869085131,7.96711599013635e-23,1.01483353012137e-20,509.558166691177,446.689196325332,433.121126358675,138.274874802742,158.350350946096,146.673119199127
"91","LOC101849195",184.002648337804,-2.00508016167244,0.205371627940344,-9.76317995714031,1.61994462874725e-22,2.040774200435e-20,63.8646235586276,81.0408045169068,74.4620847608038,272.735270300581,332.535736986802,279.3773699031
"92","LOC101851672",775.448943422659,-1.56575245165972,0.161001915336542,-9.72505481308612,2.35778377604576e-22,2.9380036096292e-20,375.034810684707,411.957422960943,387.20284075618,931.686570222615,1358.29412144874,1188.51789446277
"93","LOC101855889",102.332074469743,-2.64137929268203,0.271957017763604,-9.71248807772272,2.66744832853762e-22,3.28813200412422e-20,36.6881880017648,24.1192870586032,24.8206949202679,177.373287678,156.590902602251,194.400086557574
"94","LOC101864101",80.0736571628323,-3.25156035626234,0.337833409905762,-9.62474480297658,6.28627696919138e-22,7.66658289093724e-20,13.5882177784314,22.189744093915,8.68724322209377,171.651568720646,125.800556584954,138.524612576954
"95","LOC118478744",72.7354308026574,3.00520344540848,0.314086379166696,9.5680794989633,1.08909882817265e-21,1.31425568064961e-19,118.217494672353,133.13846456349,136.513822061474,11.4434379147097,18.4742076103779,18.62515799354
"96","LOC101847421",291.649004308454,-2.12239045557483,0.223744478421095,-9.48577802032019,2.40581599872184e-21,2.872945271807e-19,118.217494672353,94.5476052697247,115.416231379246,616.038407741872,478.56994952598,327.104337261546
"97","LOC101857937",303.489912629929,-1.65500419887515,0.177738320664494,-9.3114652635838,1.26080806881518e-20,1.49009316504095e-18,120.935138228039,153.398665692717,163.816586473768,500.65040876855,468.89298363483,413.245692981668
"98","LOC101859434",64.4048197096666,-4.73649924029509,0.512377626461803,-9.24415703512026,2.37102208710534e-20,2.77361195985465e-18,6.7941088892157,4.82385741172065,2.48206949202679,79.1504455767421,169.786765181092,123.391671707202
"99","LOC101854219",638.467659676454,-1.47295872471951,0.16003688942912,-9.2038699950606,3.45284955819819e-20,3.99833003385697e-18,267.687890235099,365.648391808425,379.756632280099,925.96485126526,1015.20169439886,876.546498070975
"100","LOC101860446",67.0881549412055,-3.32309623350424,0.361500703191925,-9.192502819946,3.83805385046922e-20,4.39994493417791e-18,12.2293960005883,18.3306581645385,4.96413898405359,123.970577409355,119.642487381495,123.391671707202
"101","LOC101857847",787.32961188941,1.43417707755512,0.157395553207151,9.11192882093422,8.09301399691796e-20,9.18597153075915e-18,1077.54566982961,1194.38709514203,1176.5009392207,347.117616746194,509.360295543277,419.06605485465
"102","LOC101859337",104.058788964543,2.34867666710321,0.257805086859303,9.11028054456116,8.21692153670402e-20,9.23517534282107e-18,186.15858356451,157.257751622093,178.709003425929,24.794115481871,41.3470360803696,36.0862436124837
"103","LOC106012135",152.299260713204,-1.91430792082506,0.217393907690843,-8.80571098407876,1.30025697568091e-18,1.44719863778699e-16,65.2234453364707,54.9919744936154,71.980015268777,237.451336730226,216.412146292998,267.736646157137
"104","LOC101854038",55.3239370662421,-3.573640930263,0.408482910719364,-8.74856900125785,2.16075231402392e-18,2.38181389692022e-16,12.2293960005883,7.71817185875303,6.20517373006698,91.5475033176777,122.281659897263,91.9617175931037
"105","LOC118477923",326.186776405646,-1.54298896228843,0.176745554750186,-8.7300015237685,2.54669191472138e-18,2.78050248670152e-16,138.59982134,160.152066069125,201.04762885417,526.398144076646,454.817396884066,476.105601209866
"106","LOC101864123",122.11400844404,2.53877909552595,0.296005536101023,8.57679599161111,9.75524200377162e-18,1.0550386257664e-15,230.999702233334,134.103236045834,259.3762619168,23.8404956556452,34.3092427049875,50.0551121076387
"107","LOC101862644",931.09610392943,1.09504874014458,0.127735412606484,8.57278900032296,1.01008469415323e-17,1.08220662932455e-15,1266.42189694981,1272.53358521191,1267.09647567968,625.574606004131,600.851609423243,554.098450307814
"108","LOC101852841",56.1795563934398,2.96548135845024,0.346936385170262,8.54762280697339,1.25649566841548e-17,1.33374688358473e-15,97.8351680047061,94.5476052697247,106.728988157152,10.4898180884839,15.8350350946096,11.6407237459625
"109","LOC101861962",107.48829680188,2.0217797094608,0.237814557529566,8.50149684049281,1.87161473368146e-17,1.96845791806645e-15,183.440940008824,164.011151998502,170.021760203835,37.1911732228065,44.8659327680606,45.3988226092537
"110","LOC101855892",984.411648472899,1.23805170635705,0.146786362114679,8.43437829319459,3.32968060836279e-17,3.47013259038828e-15,1508.29217340589,1202.10526700079,1437.11823588351,591.244292260001,518.157537262504,649.552385024707
"111","LOC101845128",505.085833770648,-1.56066362067356,0.185271500659012,-8.4236572550137,3.64910747781473e-17,3.76877190321334e-15,278.558464457844,206.461097221644,284.196956837068,598.873250869808,899.957827876981,762.467405360543
"112","LOC106013241",153.893113748364,1.81603189004243,0.217198982596406,8.36114363121549,6.21131697339771e-17,6.35772658777066e-15,199.746801342942,274.959872468077,244.483844964639,63.8925283571292,77.4157271292027,62.8599082281974
"113","LOC101854990",65.3592798543713,-3.2306005593122,0.386436288165533,-8.35998237807405,6.27276255545978e-17,6.36380087927353e-15,8.15293066705884,16.4011151998502,12.410347460134,74.3823464456131,150.432833398792,130.37610595478
"114","LOC101854634",53.4507076001876,-3.59066704758142,0.430151183304776,-8.34745360920538,6.97504131256252e-17,7.01419943922954e-15,13.5882177784314,7.71817185875303,3.72310423804019,78.1968257505163,126.680280756877,90.7976452185074
"115","LOC101851327",59.5097512445716,-5.61693696254169,0.676077498764458,-8.30812587729474,9.72253626025063e-17,9.69210049456637e-15,2.71764355568628,0,4.96413898405359,109.666280015968,65.099588722284,174.610856189437
"116","LOC101860936",266.257132614654,1.59734922888156,0.196675997324483,8.121729395612,4.59587153253023e-16,4.54198890076953e-14,389.981850240981,350.212048090919,460.42389077097,100.13008175371,147.793660883023,149.00126394832
"117","LOC101850436",239.994091273339,1.4496838756016,0.178676842779686,8.11344018088068,4.92064235202755e-16,4.82138836954221e-14,372.31716712902,332.846161408725,348.730763629764,110.619899842194,134.597798304182,140.852757326146
"118","LOC101850455",273.507293456992,-1.8777414412154,0.232353820521095,-8.08138827674203,6.40335760075472e-16,6.22102470636035e-14,80.1704848927453,92.6180623050364,178.709003425929,452.015797631033,419.628430007155,417.901982480053
"119","LOC101846077",92.8518677506878,-2.09569675065779,0.260563906100558,-8.04292805561876,8.7716831858339e-16,8.45030050776469e-14,36.6881880017648,30.8726874350121,38.4720771264153,145.903833412549,139.876143335718,165.298277192667
"120","LOC101846380",143.44248366764,-1.86871310286543,0.2326271601708,-8.03308221401739,9.50539253767692e-16,9.08081833766068e-14,55.7116928915687,67.534003764089,60.8107025546564,179.280527330452,226.089112184149,271.228863280926
"121","LOC118478672",132.456922134599,-8.41659010563366,1.0502276587404,-8.0140625088166,1.1098025789194e-15,1.05146915411008e-13,0,0.964771482344129,1.2410347460134,345.210377093743,272.714493296055,174.610856189437
"122","LOC101852823",1948.50715506244,1.16438843026574,0.146362259702346,7.95552373018656,1.78375326895002e-15,1.67614323567566e-13,3136.16066326197,2388.77419028406,2559.01364627962,1241.613013746,1047.75148876,1317.72992804295
"123","LOC101850234",615.439447469152,-1.25274926934234,0.159842311239605,-7.83740712723091,4.5994489692056e-15,4.28683601487585e-13,361.446592906275,340.564333267478,389.684910248207,713.307630016905,894.679482845444,992.9537355306
